Rank,Parameter,PAWN_minimum,PAWN_mean,PAWN_median,PAWN_maximum,PAWN_CV
1,Initial_concentration_in_positive_electrode,0.3953488372093023,0.5833333333333334,0.6627906976744186,0.6918604651162791,0.22877801064035638
2,Negative_particle_radius,0.37209302325581395,0.5678294573643411,0.6511627906976745,0.6802325581395349,0.24464110494822425
3,Separator_density,0.31976744186046513,0.5465116279069767,0.6395348837209303,0.6802325581395349,0.2949450898145859
4,Separator_thermal_conductivity,0.31976744186046513,0.5465116279069767,0.6395348837209303,0.6802325581395349,0.2949450898145859
5,Separator_Bruggeman_coefficient,0.31976744186046513,0.5465116279069767,0.6395348837209303,0.6802325581395349,0.2949450898145859
6,Maximum_concentration_in_negative_electrode,0.37790697674418605,0.5658914728682171,0.6395348837209303,0.6802325581395349,0.23672287203815692
7,Negative_electrode_specific_heat_capacity,0.31976744186046513,0.5465116279069768,0.6395348837209303,0.6802325581395349,0.29494508981458584
8,Positive_electrode_Bruggeman_coefficient,0.31976744186046513,0.5465116279069768,0.6395348837209303,0.6802325581395349,0.29494508981458584
9,Positive_electrode_thermal_conductivity,0.37209302325581395,0.563953488372093,0.6395348837209303,0.6802325581395349,0.2423594183162262
10,Maximum_concentration_in_positive_electrode,0.38372093023255816,0.5678294573643411,0.6395348837209303,0.6802325581395349,0.23112632018207527
11,Positive_current_collector_thermal_conductivity,0.31976744186046513,0.5465116279069767,0.6395348837209303,0.6802325581395349,0.2949450898145859
12,Positive_electrode_porosity,0.37209302325581395,0.563953488372093,0.6395348837209303,0.6802325581395349,0.2423594183162262
13,electrode_width,0.3953488372093023,0.5717054263565892,0.6395348837209303,0.6802325581395349,0.22005196429989804
14,Negative_current_collector_thermal_conductivity,0.31976744186046513,0.5465116279069767,0.6395348837209303,0.6802325581395349,0.2949450898145859
15,Total_heat_transfer_coefficient,0.31976744186046513,0.5465116279069767,0.6395348837209303,0.6802325581395349,0.2949450898145859
16,Negative_current_collector_conductivity,0.37209302325581395,0.563953488372093,0.6395348837209303,0.6802325581395349,0.2423594183162262
17,Cation_transference_number,0.31976744186046513,0.5465116279069767,0.6395348837209303,0.6802325581395349,0.2949450898145859
18,min_voltage,0.37209302325581395,0.563953488372093,0.6395348837209303,0.6802325581395349,0.2423594183162262
19,Negative_electrode_conductivity,0.31976744186046513,0.5465116279069768,0.6395348837209303,0.6802325581395349,0.29494508981458584
20,Initial_concentration_in_negative_electrode,0.3430232558139535,0.48062015503875966,0.4186046511627907,0.6802325581395349,0.3006128841873516
21,Positive_particle_radius,0.3430232558139535,0.46124031007751937,0.3953488372093023,0.6453488372093024,0.2860230659683616
22,electrode_height,0.3430232558139535,0.46511627906976744,0.37209302325581395,0.6802325581395349,0.3280307404294095
23,Positive_current_collector_conductivity,0.31976744186046513,0.4573643410852713,0.37209302325581395,0.6802325581395349,0.3477159023547228
24,Positive_current_collector_density,0.31976744186046513,0.44379844961240317,0.37209302325581395,0.6395348837209303,0.31556072952209024
25,Negative_current_collector_density,0.31976744186046513,0.44379844961240317,0.37209302325581395,0.6395348837209303,0.31556072952209024
26,Positive_electrode_density,0.31976744186046513,0.4573643410852713,0.37209302325581395,0.6802325581395349,0.3477159023547228
27,Negative_electrode_porosity,0.31976744186046513,0.4573643410852714,0.37209302325581395,0.6802325581395349,0.34771590235472266
28,Negative_electrode_thermal_conductivity,0.31976744186046513,0.44379844961240317,0.37209302325581395,0.6395348837209303,0.31556072952209024
29,Positive_electrode_thickness,0.3430232558139535,0.4515503875968992,0.37209302325581395,0.6395348837209303,0.29554584207187673
30,Positive_electrode_specific_heat_capacity,0.31976744186046513,0.44379844961240317,0.37209302325581395,0.6395348837209303,0.31556072952209024
31,Negative_electrode_density,0.31976744186046513,0.4573643410852713,0.37209302325581395,0.6802325581395349,0.3477159023547228
32,Negative_electrode_active_material_volume_fraction,0.3430232558139535,0.46511627906976744,0.37209302325581395,0.6802325581395349,0.3280307404294095
33,Positive_electrode_active_material_volume_fraction,0.36627906976744184,0.4728682170542636,0.37209302325581395,0.6802325581395349,0.3101243346293871
34,Positive_current_collector_thickness,0.31976744186046513,0.44379844961240317,0.37209302325581395,0.6395348837209303,0.31556072952209024
35,Negative_current_collector_thickness,0.31976744186046513,0.4573643410852713,0.37209302325581395,0.6802325581395349,0.3477159023547228
36,Separator_porosity,0.31976744186046513,0.4573643410852713,0.37209302325581395,0.6802325581395349,0.3477159023547228
37,Negative_electrode_Bruggeman_coefficient,0.31976744186046513,0.44379844961240317,0.37209302325581395,0.6395348837209303,0.31556072952209024
38,Separator_specific_heat_capacity,0.31976744186046513,0.44379844961240317,0.37209302325581395,0.6395348837209303,0.31556072952209024
39,Negative_electrode_thickness,0.3488372093023256,0.46124031007751937,0.37209302325581395,0.6627906976744186,0.3096727020619878
40,Positive_electrode_conductivity,0.31976744186046513,0.4573643410852713,0.37209302325581395,0.6802325581395349,0.3477159023547228
41,Positive_electrode_diffusivity,0.31976744186046513,0.44379844961240317,0.37209302325581395,0.6395348837209303,0.31556072952209024
42,max_voltage,0.31976744186046513,0.44379844961240317,0.37209302325581395,0.6395348837209303,0.31556072952209024
